Comment,Designator,Footprint,LCSC Part#
ESP32-S3-MINI-1-N8,U1,ESP32-S3-MINI-1,C2913206
SHT40-AD1B-R2,U2,DFN-4_1.5x1.5mm,C2489378
LD2410B,U3,SMD-Module-35x7mm,C5908787
ATECC608A-MAHDA-T,U4,UDFN-8_2x3mm,C558548
RT9013-33GB,U5,SOT-23-5,C145239
USBLC6-2SC6,U6,SOT-23-6,C7519
TYPE-C-31-M-12,J1,USB-C-SMD-16P,C165948
B2B-PH-K-S,J2,JST-PH-2P_2.0mm,C131337
BAT-HLD-001-SMT,BT1,CR2032-SMD,C75811
PTS636 SM25F SMTR LFS,SW1,SW-SMD-3x4x2mm,C2837610
PTS125 SM43 SMTR2 LFS,SW2,SW-SMD-12x12x4.3mm,C2837636
WS2812B-2020,D1,LED-2020,C965555
WS2812B-2020,D1b,LED-2020,C965555
1N5819W,D2,SOD-123,C191023
PRTR5V0U2X,D3,SOT-363,C2827654
MLT-8530,BZ1,Buzzer-SMD-9x6mm,C96044
RC0402JR-074K7L,R1 R2,R_0402,C25900
RC0402JR-0710KL,R3,R_0402,C25744
RC0402JR-075K1L,R4 R5,R_0402,C25905
RC0402JR-07100KL,R6 R7,R_0402,C25741
RC0402JR-0733RL,R8,R_0402,C25900
CL21A106KAYNNNE,C1,C_0805,C15850
CL05B104KO5NNNC,C2,C_0402,C1525
CL21A226MAQNNNE,C3 C4,C_0805,C45783
UWT1C471MNL1GS,C5,Cap-SMD-D6.3-H7.7,C330803
CL21A106KAYNNNE,C6,C_0805,C15850
BLM18PG601SN1D,FB1,L_0402,C1015
