Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,27.5,28.0,Top,0
U2,45.0,10.0,Top,0
U3,27.5,13.0,Top,0
U4,42.0,42.0,Top,0
U5,20.0,48.0,Top,0
U6,35.0,48.0,Top,0
J1,27.5,52.5,Top,0
J2,52.5,27.5,Top,270
BT1,8.0,30.0,Top,0
SW1,10.0,48.0,Top,0
SW2,27.5,8.0,Top,0
D1,38.0,13.0,Top,0
D1b,44.0,13.0,Top,0
D2,8.0,40.0,Top,0
D3,48.0,35.0,Top,0
BZ1,47.0,22.0,Top,0
R1,42.0,18.0,Top,0
R2,42.0,22.0,Top,0
R3,48.0,32.0,Top,0
R4,22.0,51.0,Top,0
R5,33.0,51.0,Top,0
R6,15.0,48.0,Top,0
R7,15.0,44.0,Top,0
R8,38.0,20.0,Top,0
C1,22.0,28.0,Top,0
C2,25.0,28.0,Top,0
C3,20.0,44.0,Top,0
C4,17.0,44.0,Top,0
C5,8.0,22.0,Top,0
C6,32.0,13.0,Top,0
FB1,17.0,48.0,Top,0
